DISTRICT,Murder,Rape,Kidnapping and Abduction,Dacoity,Robbery,Arson,Hurt,Prevention of atrocities (POA) Act,Protection of Civil Rights (PCR) Act,Other Crimes Against SCs,Area
ERNAKULAM,1,9,0,0,0,1,44,25,0,17,Peaceful Area
ERNAKULAM COMMR.,0,21,0,0,0,1,27,34,0,86,Peaceful Area
ERNAKULAM RURAL,4,36,3,0,0,1,50,53,0,182,Peaceful Area
ERODE,11,8,0,0,0,7,4,484,5,0,Peaceful Area
FARIDABAD,5,30,14,0,0,1,12,104,0,128,Peaceful Area
FARIDKOT,0,3,0,0,0,0,0,22,0,31,Peaceful Area
FATEHABAD,4,24,14,0,0,1,31,20,0,57,Peaceful Area
FATEHGARH SAHIB,1,0,0,0,0,0,1,10,0,11,Peaceful Area
FAZILKA,0,0,0,0,0,0,2,1,0,1,Peaceful Area
FEROZEPUR,0,0,0,0,0,0,0,16,1,9,Peaceful Area
FEROZPUR,0,1,1,0,0,0,1,22,0,19,Peaceful Area
G.R.P,0,0,0,0,0,0,0,0,0,2,Peaceful Area
G.R.P.,5,1,0,0,1,0,0,64,0,21,Peaceful Area
G.R.P. AJMER,0,0,0,0,0,0,0,1,0,1,Peaceful Area
G.R.P. JODHPUR,0,0,0,0,0,0,0,0,0,0,Peaceful Area
G.R.P.(RLY),0,0,0,0,0,0,0,0,0,0,Peaceful Area
G.R.P.AJMER,0,0,0,0,0,0,0,4,0,0,Peaceful Area
G.R.P.JODHPUR,0,1,0,0,0,0,0,3,0,1,Peaceful Area
GADAG,0,0,0,0,0,0,0,138,0,108,Peaceful Area
GADCHIROLI,1,11,1,1,0,0,3,17,1,42,Peaceful Area
GAJAPATI,0,1,0,0,0,1,13,37,0,21,Peaceful Area
GANDERBAL,0,0,0,0,0,0,0,0,0,0,Peaceful Area
GARIYABAND,0,5,0,0,0,0,1,0,0,3,Peaceful Area
GARO HILLS EAST,0,0,0,0,0,0,0,0,0,0,Peaceful Area
GARO HILLS SOUTH,0,0,0,0,0,0,0,0,0,0,Peaceful Area
GARO HILLS WEST,0,0,0,0,0,0,0,0,0,0,Peaceful Area
GAUTAMBUDH NAGAR,22,21,29,0,0,4,17,24,21,275,Peaceful Area
GIRIDIH,6,8,0,0,0,6,63,163,0,37,Peaceful Area
GOALPARA,0,0,0,0,2,0,0,0,0,0,Peaceful Area
