DISTRICT,Murder,Rape,Kidnapping Abduction,Dacoity,Robbery,Arson,Hurt,Protection of Civil Rights (PCR) Act,Prevention of atrocities (POA) Act,Other Crimes Against STs,Area
DIBANG VALLEY,0,1,5,0,0,0,14,0,0,22,Peaceful Area
DIBRUGARH,6,4,1,1,4,0,20,0,0,39,Peaceful Area
DIMAPUR,0,0,0,0,0,0,0,0,0,0,Peaceful Area
DINDIGUL,0,0,0,0,0,0,1,0,0,0,Peaceful Area
DIU,0,0,0,0,0,0,0,0,0,0,Peaceful Area
DODA,0,0,0,0,0,0,0,0,0,0,Peaceful Area
DRP,0,0,0,0,0,0,0,0,0,0,Peaceful Area
DUNGARPUR,0,14,3,0,0,1,5,0,31,118,Peaceful Area
EAST,6,9,4,0,2,3,30,1,0,11,Peaceful Area
EAST GODAVARI,3,6,0,0,0,0,25,0,34,155,Peaceful Area
EOW,0,0,0,0,0,0,0,0,0,0,Peaceful Area
ERNAKULAM,0,1,0,0,0,0,0,0,1,0,Peaceful Area
ERNAKULAM COMMR.,0,1,0,0,0,0,0,0,1,9,Peaceful Area
ERNAKULAM RURAL,0,5,0,0,0,0,0,0,2,8,Peaceful Area
ERODE,1,0,0,0,0,0,0,0,0,0,Peaceful Area
ETAH,1,0,0,0,0,0,0,0,0,2,Peaceful Area
ETAWAH,0,0,0,0,0,0,0,0,0,0,Peaceful Area
FAIZABAD,0,0,0,0,0,0,0,0,0,0,Peaceful Area
FARIDABAD,0,0,0,0,0,0,0,0,0,0,Peaceful Area
FARIDKOT,0,0,0,0,0,0,0,0,0,0,Peaceful Area
FATEHABAD,0,0,0,0,0,0,0,0,0,0,Peaceful Area
FATEHGARH,0,0,0,0,0,0,0,0,0,18,Peaceful Area
FATEHGARH SAHIB,0,0,0,0,0,0,0,0,0,0,Peaceful Area
FATEHPUR,0,0,0,0,0,0,0,0,0,5,Peaceful Area
FAZILKA,0,0,0,0,0,0,0,0,0,0,Peaceful Area
FEROZEPUR,0,0,0,0,0,0,0,0,0,0,Peaceful Area
FEROZPUR,0,0,0,0,0,0,0,0,0,0,Peaceful Area
FIROZABAD,0,0,0,0,0,0,0,0,0,5,Peaceful Area
G.R.P,0,0,0,0,0,0,0,0,0,0,Peaceful Area
G.R.P.,0,0,0,0,0,0,0,0,5,0,Peaceful Area
G.R.P. AJMER,0,0,0,0,0,0,0,0,0,0,Peaceful Area
G.R.P. JODHPUR,0,0,0,0,0,0,0,0,0,0,Peaceful Area
G.R.P.(RLY),0,0,0,0,0,0,0,0,0,0,Peaceful Area
G.R.P.AJMER,0,1,0,0,0,0,0,0,2,0,Peaceful Area
