state,places of occurrence,Dacoity (Section 395-398 IPC) - Number of cases registered,Dacoity (Section 395-398 IPC) - Value Of Property Stolen (in rupees),"Robbery(Section 392-394, 397, 398 IPC) - Number of cases registered","Robbery(Section 392-394, 397, 398 IPC) - Value Of Property Stolen (in rupees)","Burglary(Section 449-452, 454, 455, 457-460 IPC) - Number of cases registered","Burglary(Section 449-452, 454, 455, 457-460 IPC) - Value Of Property Stolen (in rupees)",Theft (Section 379-382 IPC) - Number of cases registered,Theft (Section 379-382 IPC) - Value Of Property Stolen (in rupees),Area type
JAMMU & KASHMIR,RAILWAYS,0,0,10,534200,80,3202622,675,16828209,Peaceful Area
JAMMU & KASHMIR,RESIDENTIAL PREMISES,88,3219800,378,23351768,9054,315385915,6024,251384293,Peaceful Area
JAMMU & KASHMIR,RIVER & SEA,0,0,0,0,0,0,96,1668752,Peaceful Area
JAMMU & KASHMIR,RUNNING TRAINS,0,0,0,0,0,0,10,715790,Peaceful Area
JHARKHAND,BANKS,85,67422478,91,24640890,14,829520,211,3563955,Peaceful Area
JHARKHAND,COMMERCIAL ESTABLISHMENTS,163,25777307,395,22402167,1148,25138925,9924,249011230,Peaceful Area
JHARKHAND,HIGH-WAY,1971,150247310,4105,149605154,47,673633,3131,71909739,Peaceful Area
JHARKHAND,OTHER PLACES,740,67725180,1708,85503927,1397,26429499,22572,531163658,Peaceful Area
JHARKHAND,RAILWAYS,190,7499720,280,3527785,60,902096,3147,59458664,Peaceful Area
JHARKHAND,RESIDENTIAL PREMISES,2757,156131260,2124,63012746,14014,210666903,32328,423973925,Peaceful Area
JHARKHAND,RIVER & SEA,0,0,8,234500,0,0,9,114832,Peaceful Area
JHARKHAND,RUNNING TRAINS,111,4503665,101,1594098,0,0,1369,26455201,Peaceful Area
KARNATAKA,BANKS,20,4943989,124,15607762,510,120631222,704,67325009,Peaceful Area
KARNATAKA,COMMERCIAL ESTABLISHMENTS,147,90894972,708,67378939,12051,693696897,21616,915260602,Peaceful Area
KARNATAKA,HIGH-WAY,317,172425241,734,120522430,401,32898269,1809,157114325,Peaceful Area
KARNATAKA,OTHER PLACES,1356,357587325,12346,809071379,12650,976724992,120166,4644606509,Moderate Area
KARNATAKA,RAILWAYS,29,717828,274,11068876,118,3225620,5535,237380406,Peaceful Area
KARNATAKA,RESIDENTIAL PREMISES,710,128770829,3098,166790924,47568,2328451516,50098,1660531975,Moderate Area
KARNATAKA,RIVER & SEA,2,101300,3,22594,0,0,32,1342940,Peaceful Area
KARNATAKA,RUNNING TRAINS,19,567408,166,8179424,5,176491,3769,176009231,Peaceful Area
KERALA,BANKS,7,50916778,21,474375,267,217714029,71,13497448,Peaceful Area
KERALA,COMMERCIAL ESTABLISHMENTS,175,124328853,520,29752941,8288,480549448,4533,188254738,Peaceful Area
KERALA,HIGH-WAY,134,104035451,365,30781039,104,3526559,1067,54684520,Peaceful Area
KERALA,OTHER PLACES,759,185847613,5467,208415655,12314,608430455,37218,1449668378,Peaceful Area
KERALA,RAILWAYS,3,976350,48,1378125,24,1131004,2296,107703285,Peaceful Area
KERALA,RESIDENTIAL PREMISES,282,55610941,1907,71127894,25373,1422639733,17123,1144481562,Peaceful Area
KERALA,RIVER & SEA,4,195000,1,134600,1,168000,45,2946160,Peaceful Area
KERALA,RUNNING TRAINS,1,484300,33,992125,3,178300,1737,93104910,Peaceful Area
LAKSHADWEEP,BANKS,0,0,0,0,1,16795,1,10000,Peaceful Area
