DISTRICT,MURDER,ATTEMPT TO MURDER,RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,DACOITY,ROBBERY,BURGLARY,THEFT,CHEATING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES,Area
FEROZPUR,409,398,222,229,177,8,24,950,1673,1252,59,3032,54,27,331,927,3214,13155,Peaceful Area
G.R.P,105,33,7,7,1,3,10,5,496,186,3,160,25,0,0,0,3337,4482,Peaceful Area
G.R.P.,395,234,53,180,90,256,848,100,29860,598,20,254,22,340,32,77,14519,49077,Peaceful Area
G.R.P. AJMER,6,3,0,1,0,1,5,2,386,3,0,0,3,0,0,1,203,617,Peaceful Area
G.R.P. JODHPUR,2,1,2,0,0,0,2,0,91,0,0,1,0,2,0,0,44,149,Peaceful Area
G.R.P.(RLY),43,22,8,25,15,3,49,8,5849,93,9,49,6,2,0,4,410,6641,Peaceful Area
G.R.P.AJMER,10,8,6,14,11,1,7,1,1111,10,0,9,1,0,0,3,236,1453,Peaceful Area
G.R.P.JODHPUR,6,1,1,3,1,0,1,1,168,0,1,1,1,0,0,5,85,286,Peaceful Area
GADAG,246,193,44,83,41,37,70,627,822,258,42,1923,28,2,313,758,5232,12421,Peaceful Area
GADCHIROLI,694,482,245,116,95,104,123,1161,1606,144,559,2787,14,100,510,911,4326,14864,Peaceful Area
GAJAPATI,166,117,103,94,78,18,32,247,346,107,158,460,15,35,107,319,1799,5035,Peaceful Area
GANDERBAL,139,64,74,399,384,6,21,420,575,99,108,41,0,42,15,305,2178,5961,Peaceful Area
GANDHINAGAR,292,117,116,315,259,71,335,1626,5897,492,99,3206,17,40,1652,2169,31585,49069,Peaceful Area
GARHWA,603,421,321,243,148,158,301,421,891,393,129,2712,168,2,363,383,4989,14566,Peaceful Area
GARIYABAND,41,27,40,10,3,5,7,87,113,18,15,534,6,6,14,80,429,1518,Peaceful Area
GARO HILLS EAST,134,120,29,78,8,118,74,146,354,30,33,97,0,1,0,0,446,1771,Peaceful Area
GARO HILLS SOUTH,72,42,21,48,10,35,22,34,194,19,6,39,0,0,5,12,169,746,Peaceful Area
