DISTRICT,MURDER,ATTEMPT TO MURDER,RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,DACOITY,ROBBERY,BURGLARY,THEFT,CHEATING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES,Area
HARIDWAR,789,722,343,823,598,109,645,950,5810,1665,74,4355,159,605,1251,1911,4071,26741,Moderate Area
HASSAN,755,746,209,266,150,101,560,2747,4009,747,143,15135,123,2,1213,0,27310,57541,Moderate Area
HATHRAS,759,813,244,713,502,208,585,641,2501,765,27,1764,267,195,1257,1179,6340,20342,Moderate Area
HAZARIBAGH,958,671,550,586,458,625,706,1314,5381,1108,162,2779,394,0,662,580,11994,31956,Moderate Area
HIMATNAGAR,475,148,141,491,470,199,210,1732,2688,489,454,3171,7,11,2305,2885,39378,56623,Moderate Area
HISSAR,708,660,287,586,422,44,353,3062,7428,1711,142,4036,197,110,2117,49,15352,38246,Moderate Area
HOOGHLY,1115,438,574,793,715,131,356,335,7468,1121,273,2375,188,10,7040,1940,15784,47090,Moderate Area
HOSHANGABAD,582,627,745,260,219,20,452,2751,4138,352,149,5446,152,205,778,300,22063,41312,Moderate Area
HOWRAH,666,144,419,913,775,144,256,259,6202,1543,52,1898,226,61,5265,2830,20534,44803,Moderate Area
IDUKKI,299,276,366,85,67,47,200,2000,2405,1287,146,16106,7,149,1930,7,32504,62789,Moderate Area
JAIPUR,439,531,338,1167,956,26,320,4822,17441,7308,264,7996,172,9,2526,4192,41008,99527,Moderate Area
JAIPUR RURAL,415,219,260,672,541,35,166,1525,6379,5127,178,4001,103,15,1581,4104,27746,53815,Moderate Area
JAJPUR,518,314,332,458,427,133,500,1287,2734,354,167,6818,342,68,918,1908,6283,24607,Moderate Area
JALANDHAR,639,912,365,793,594,30,155,2565,4527,3691,113,4711,112,7,1023,1983,8008,30397,Moderate Area
