DISTRICT,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls,Area type
IMPHAL(EAST),25,73,0,18,0,2,0,Peaceful Area
IMPHAL(WEST),34,151,0,101,0,12,0,Peaceful Area
INDORE,1255,460,359,3535,860,3918,5,Sensitive Area
INDORE RLY.,22,7,3,52,7,2,0,Peaceful Area
J.P.NAGAR,290,397,165,297,390,762,0,Peaceful Area
JABALPUR,1285,348,479,3086,852,1802,3,Sensitive Area
JABALPUR RLY.,22,8,4,68,16,1,0,Peaceful Area
JAGATSINGHPUR,259,274,189,171,21,570,0,Peaceful Area
JAGDALPUR,743,139,18,553,25,210,0,Peaceful Area
JAGRAON,109,69,20,55,17,149,0,Peaceful Area
JAINTIA HILLS,236,31,0,58,0,0,0,Peaceful Area
JAIPUR,338,956,172,1006,9,2526,0,Moderate Area
JAIPUR EAST,193,402,60,310,4,1338,0,Peaceful Area
JAIPUR NORTH,171,424,67,228,0,1410,0,Peaceful Area
JAIPUR RURAL,260,541,103,573,15,1581,0,Peaceful Area
JAIPUR SOUTH,120,317,50,169,0,1342,0,Peaceful Area
JAIPUR WEST,61,132,10,43,0,465,0,Peaceful Area
JAISALMER,45,67,68,202,0,245,1,Peaceful Area
JAJPUR,332,427,342,709,68,918,0,Moderate Area
JALANDHAR,365,594,112,321,7,1023,0,Peaceful Area
JALANDHAR RURAL,68,59,7,58,7,115,0,Peaceful Area
JALAUN,82,285,364,326,204,419,0,Peaceful Area
JALGAON,485,266,115,1233,404,4273,0,Moderate Area
JALNA,193,133,271,687,109,3092,0,Moderate Area
JALORE,134,308,121,589,0,1239,0,Peaceful Area
JALPAIGURI,1777,1536,123,1887,5,6745,0,Sensitive Area
JAMALPUR RLY.,6,6,5,14,0,2,0,Peaceful Area
JAMMU,290,693,64,347,672,520,0,Moderate Area
JAMNAGAR,192,312,8,260,46,2806,0,Peaceful Area
JAMSHEDPUR,606,444,159,382,18,881,1,Moderate Area
JAMSHEDPUR RLY.,11,19,3,24,0,6,0,Peaceful Area
JAMTARA,238,87,64,122,2,258,0,Peaceful Area
JAMUI,290,215,201,189,2,450,0,Peaceful Area
JANJGIR,462,96,133,1220,128,1126,0,Moderate Area
JASHPUR,713,190,16,554,36,186,0,Peaceful Area
JAUNPUR,175,505,459,263,269,866,0,Moderate Area
JEHANABAD,101,142,252,74,0,262,0,Peaceful Area
JHABUA,435,375,31,878,18,159,0,Peaceful Area
JHAJJAR,231,171,178,269,278,1226,0,Peaceful Area
JHALAWAR,661,629,94,1978,50,3256,0,Moderate Area
JHANSI,141,337,286,328,496,377,0,Moderate Area
JHARGRAM,21,21,6,28,0,47,0,Peaceful Area
JHARSUGUDA,170,79,33,568,53,251,0,Peaceful Area
JHUNJHUNU,416,413,170,570,0,2342,0,Moderate Area
JIND,302,206,166,197,213,835,0,Peaceful Area
JODHPUR,135,302,75,580,19,1303,1,Peaceful Area
JODHPUR CITY,128,246,66,238,10,1475,0,Peaceful Area
JODHPUR EAST,20,13,11,16,0,296,0,Peaceful Area
JODHPUR RURAL,172,182,112,281,0,692,0,Peaceful Area
JODHPUR WEST,20,23,5,27,0,5,0,Peaceful Area
JORHAT,476,509,9,516,0,1082,0,Peaceful Area
JUNAGADH,142,571,47,519,92,4893,0,Moderate Area
K.G.F.,64,63,57,181,2,246,0,Peaceful Area
K/KUMEY,17,15,0,3,0,2,0,Peaceful Area
KABIRDHAM,268,51,22,670,56,256,0,Peaceful Area
KAITHAL,218,137,112,188,0,1601,0,Peaceful Area
KALAHANDI,436,234,81,744,91,500,0,Peaceful Area
KAMENG EAST,25,29,0,49,0,3,0,Peaceful Area
KAMENG WEST,7,15,0,27,0,3,0,Peaceful Area
KAMRUP,614,994,39,498,0,1070,0,Moderate Area
KANCHIPURAM,251,144,90,385,171,181,9,Peaceful Area
KANDHAMAL,368,235,46,1022,65,483,0,Peaceful Area
KANGRA,232,285,9,505,74,614,0,Peaceful Area
KANKER,314,71,19,325,25,153,0,Peaceful Area
KANNAUJ,92,464,256,310,106,822,0,Peaceful Area
KANNUR,419,89,2,1400,140,3036,0,Moderate Area
KANPUR DEHAT,133,380,289,352,242,716,0,Moderate Area
KANPUR NAGAR,492,2142,756,1083,2090,4341,0,Sensitive Area
KANSHIRAM NAGAR,84,197,133,145,10,132,0,Peaceful Area
KANYAKUMARI,110,302,49,239,725,719,0,Peaceful Area
KAPURTHALA,190,174,45,153,0,410,0,Peaceful Area
KARAIKAL,12,15,1,108,25,6,0,Peaceful Area
KARAULI,403,600,170,459,0,1370,0,Moderate Area
KARBI ANGLONG,171,234,14,105,1,183,0,Peaceful Area
KARGIL,8,21,0,18,0,3,0,Peaceful Area
KARIMGANJ,397,478,88,89,0,1279,1,Peaceful Area
KARIMNAGAR,853,1201,594,3833,2324,7304,1,Sensitive Area
KARNAL,562,241,194,363,124,2196,0,Moderate Area
KARUR,68,253,25,174,52,209,0,Peaceful Area
KASARGOD,480,51,6,944,87,1775,0,Peaceful Area
KATHUA,164,232,26,204,105,90,0,Peaceful Area
KATIHAR,1089,747,219,131,7,540,4,Moderate Area
KATIHAR RLY.,17,33,6,31,0,11,0,Peaceful Area
KATNI,536,75,202,1525,147,726,0,Moderate Area
KAUSHAMBI,226,297,258,343,95,610,0,Peaceful Area
KAWARDHA,35,0,1,45,4,15,0,Peaceful Area
KENDRAPARA,307,308,351,178,187,463,0,Moderate Area
KEONJHAR,627,391,191,1777,182,656,0,Moderate Area
KHAGARIA,172,208,157,112,0,211,1,Peaceful Area
KHAMMAM,721,717,218,2247,2525,4090,0,Sensitive Area
KHANDWA,717,174,91,2005,251,531,0,Moderate Area
KHANNA,111,92,42,57,0,254,0,Peaceful Area
KHARAGPUR G.R.P.,3,8,1,19,3,7,0,Peaceful Area
KHARGON,668,145,252,1857,276,518,1,Moderate Area
KHASI HILLS EAST,347,98,13,180,2,108,0,Peaceful Area
KHASI HILLS WEST,159,12,0,49,0,0,0,Peaceful Area
KHEDA NORTH,149,456,0,361,0,1817,0,Peaceful Area
KHIRI,516,989,658,681,558,884,0,Moderate Area
KHOWAI,10,3,3,22,0,36,0,Peaceful Area
KHUNTI,50,29,3,12,1,15,5,Peaceful Area
KHURDA,535,487,196,706,90,1270,1,Moderate Area
KINNAUR,63,29,1,38,3,43,0,Peaceful Area
KIPHIRE,2,1,0,0,0,0,0,Peaceful Area
KISHANGANJ,435,575,88,80,1,433,0,Peaceful Area
KISHTWAR,20,106,0,42,8,42,0,Peaceful Area
KODAGU,129,55,30,311,12,413,0,Peaceful Area
KODERMA,114,110,129,79,4,324,0,Peaceful Area
KOHIMA,63,10,0,17,0,2,0,Peaceful Area
KOKRAJHAR,399,452,34,342,0,762,2,Peaceful Area
KOLAR,188,190,157,401,3,426,0,Peaceful Area
KOLASIB,80,1,0,81,1,2,0,Peaceful Area
KOLHAPUR,348,196,245,675,178,1273,0,Moderate Area
KOLKATA,433,1178,118,2572,1107,4362,27,Sensitive Area
KOLLAM,558,182,28,3035,81,4043,0,Moderate Area
KOLLAM COMMR.,97,38,5,363,60,655,0,Peaceful Area
KOLLAM RURAL,95,24,1,525,28,624,0,Peaceful Area
KONDAGAON,11,0,0,4,3,2,0,Peaceful Area
KOPPAL,102,92,38,314,4,556,0,Peaceful Area
KORAPUT,544,288,48,1202,195,672,0,Moderate Area
KORBA,433,74,65,896,93,459,0,Peaceful Area
KORIYA,646,96,26,1009,36,471,1,Peaceful Area
KOTA,204,580,47,843,13,1706,0,Peaceful Area
KOTA CITY,192,477,51,362,5,2426,0,Peaceful Area
KOTA RURAL,234,236,30,609,8,1370,0,Peaceful Area
KOTTAYAM,394,149,10,2310,343,2170,0,Moderate Area
KOZHIKODE,92,11,2,253,20,662,0,Peaceful Area
KOZHIKODE COMMR.,169,57,16,721,334,1520,0,Peaceful Area
KOZHIKODE RURAL,350,106,20,1314,138,2662,0,Moderate Area
KRISHNA,528,466,169,2865,1698,5016,0,Sensitive Area
KRISHNAGIRI,125,318,44,333,134,247,0,Peaceful Area
KULGAM,107,521,0,542,109,7,0,Peaceful Area
KULLU,206,127,3,273,10,166,0,Peaceful Area
KUPWARA,102,380,0,593,77,26,0,Peaceful Area
KURNOOL,419,599,154,3504,2172,3002,0,Sensitive Area
KURUKSHETRA,343,234,113,226,255,1112,0,Peaceful Area
KUSHI NAGAR,125,343,251,170,326,251,0,Peaceful Area
KUTCH,97,325,15,276,21,2367,0,Peaceful Area
