DISTRICT,MURDER,ATTEMPT TO MURDER,RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,DACOITY,ROBBERY,BURGLARY,THEFT,CHEATING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES,Area
DARRANG,471,122,784,1079,941,165,188,1291,2036,482,186,3235,60,5,1645,1125,5432,20878,Moderate Area
DATIYA,603,617,287,226,131,16,449,1204,1750,175,128,4920,122,0,333,818,14556,27410,Peaceful Area
DAUSA,355,262,185,758,508,11,151,1071,7905,2697,181,1099,141,0,1363,2443,30684,51097,Moderate Area
DAVANAGERE,422,270,171,221,174,59,344,1949,3296,647,10,6103,106,25,1092,38,17337,36167,Peaceful Area
DCP BBSR,205,289,202,244,183,60,414,1377,5925,731,56,3699,95,51,248,858,6096,21234,Peaceful Area
DCP CTC,117,96,96,149,132,52,300,621,2784,267,17,126,41,12,439,675,5013,11211,Peaceful Area
DEHRADUN,424,508,284,641,555,52,361,1519,5234,2025,50,2325,101,631,1224,1687,5681,24859,Moderate Area
DEOGARH,188,187,148,82,65,66,127,277,377,89,57,2057,24,26,162,374,1202,6364,Peaceful Area
DEOGHAR,567,526,435,209,69,171,273,1163,2304,267,76,2631,178,49,379,455,6622,18503,Peaceful Area
DEORIA,422,416,95,373,323,15,145,588,1190,521,59,1608,287,86,308,1079,5873,14425,Peaceful Area
DEWAS,584,886,993,311,219,92,509,3117,8570,507,378,5190,174,552,1746,1886,42253,71266,Moderate Area
DHALAI,282,81,220,230,90,30,88,246,316,53,66,828,26,1,382,169,1230,4735,Peaceful Area
DHAMTARI,194,112,334,83,67,18,69,1432,1435,218,57,1050,19,85,168,954,8826,16040,Peaceful Area
DHANBAD,975,472,449,960,728,654,656,2186,8948,904,98,2979,441,53,452,63,18996,43124,Moderate Area
DHANBAD RLY.,87,1,12,28,13,205,212,60,1940,49,0,2,17,0,7,13,1093,3868,Peaceful Area
DHAR,961,918,1124,403,365,75,410,2738,6357,362,380,7431,521,219,923,2284,34310,63019,Moderate Area
DHARMAPURI,665,497,177,538,433,61,226,1022,2675,421,458,11529,66,66,466,3147,23096,48360,Moderate Area
DHARWAD COMMR.,226,256,40,209,137,40,561,1596,3647,1334,75,2179,31,25,426,71,11573,23763,Peaceful Area
DHARWAD RURAL,323,221,44,87,38,28,63,371,668,184,18,1762,26,0,198,0,7533,13068,Peaceful Area
DHEMAJI,253,229,727,637,483,43,140,363,1398,239,156,2385,19,0,1058,478,2802,11695,Peaceful Area
DHENKANAL,494,603,244,272,226,100,518,848,2001,337,239,806,177,118,333,1091,7924,19155,Peaceful Area
DHOLPUR,529,862,311,691,516,33,224,677,4222,1499,133,15705,262,0,1653,1205,10554,40283,Moderate Area
DHUBRI,634,294,1363,1795,1564,263,243,1286,2185,953,421,4885,118,15,4331,1905,6385,35176,Moderate Area
DHULE,538,363,178,122,114,247,290,1675,4158,777,143,4450,66,96,2080,2910,8667,29150,Moderate Area
DIBANG VALLEY,36,35,30,48,36,23,45,133,273,18,12,298,0,0,17,29,367,1444,Peaceful Area
