DISTRICT,Murder,Rape,Kidnapping and Abduction,Foeticide,Abetment of suicide,Exposure and abandonment,Procuration of minor girls,Buying of girls for prostitution,Selling of girls for prostitution,Prohibition of child marriage act,Total,Area type
SINGRAULI,15.0,72.0,90.0,11.0,4.0,1.0,0.0,0.0,0.0,0.0,355,Peaceful Area
SIPAHIJALA,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,Peaceful Area
SIRMAUR,6.0,49.0,81.0,4.0,0.0,2.0,0.0,0.0,0.0,2.0,204,Peaceful Area
SIROHI,12.0,47.0,69.0,2.0,0.0,6.0,1.0,0.0,0.0,0.0,148,Peaceful Area
SIRSA,9.0,16.0,36.0,4.0,0.0,7.0,0.0,0.0,0.0,1.0,108,Peaceful Area
SITAMARHI,52.0,12.0,278.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342,Peaceful Area
SIVAGANGAI,17.0,24.0,63.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,113,Peaceful Area
SIWAN,20.0,5.0,198.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,229,Peaceful Area
SOLAN,6.0,64.0,56.0,0.0,0.0,19.0,14.0,0.0,1.0,3.0,195,Peaceful Area
SONBHADRA,21.0,74.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243,Peaceful Area
SONEPUR,6.0,17.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,36,Peaceful Area
SONIPAT,3.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,16,Peaceful Area
SONITPUR,8.0,39.0,9.0,2.0,10.0,0.0,0.0,0.0,2.0,0.0,218,Peaceful Area
SOPORE,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,Peaceful Area
SOUTH GOA,14.0,125.0,78.0,0.0,2.0,16.0,10.0,0.0,0.0,1.0,387,Peaceful Area
SOUTH WEST,3.0,19.0,54.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,86,Peaceful Area
SPL CELL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Peaceful Area
SRIKAKULAM,20.0,51.0,35.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,146,Peaceful Area
SRINAGAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Peaceful Area
SRP(CUTTACK),1.0,3.0,17.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,26,Peaceful Area
SRP(ROURKELA),1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,Peaceful Area
ST.RAVIDASNAGAR,5.0,8.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65,Peaceful Area
STF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Peaceful Area
SUBANSIRI LOWER,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,Peaceful Area
SUBANSIRI UPPER,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,Peaceful Area
SUKMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Peaceful Area
SULTANPUR,61.0,91.0,200.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,433,Peaceful Area
SUNDARGARH,44.0,132.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246,Peaceful Area
SUPAUL,6.0,12.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101,Peaceful Area
SURAJPUR,23.0,213.0,5.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,394,Peaceful Area
SURAT RURAL,6.0,31.0,63.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,117,Peaceful Area
SURGUJA,6.0,78.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,142,Peaceful Area
TAMENGLONG,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Peaceful Area
TAPI,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,Peaceful Area
