DISTRICT,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls,Area type
JHABUA,435,375,31,878,18,159,0,Peaceful Area
JHAJJAR,231,171,178,269,278,1226,0,Peaceful Area
JHARGRAM,21,21,6,28,0,47,0,Peaceful Area
JHARSUGUDA,170,79,33,568,53,251,0,Peaceful Area
JIND,302,206,166,197,213,835,0,Peaceful Area
JODHPUR,135,302,75,580,19,1303,1,Peaceful Area
JODHPUR CITY,128,246,66,238,10,1475,0,Peaceful Area
JODHPUR EAST,20,13,11,16,0,296,0,Peaceful Area
JODHPUR RURAL,172,182,112,281,0,692,0,Peaceful Area
JODHPUR WEST,20,23,5,27,0,5,0,Peaceful Area
JORHAT,476,509,9,516,0,1082,0,Peaceful Area
K.G.F.,64,63,57,181,2,246,0,Peaceful Area
K/KUMEY,17,15,0,3,0,2,0,Peaceful Area
KABIRDHAM,268,51,22,670,56,256,0,Peaceful Area
KAITHAL,218,137,112,188,0,1601,0,Peaceful Area
KALAHANDI,436,234,81,744,91,500,0,Peaceful Area
KAMENG EAST,25,29,0,49,0,3,0,Peaceful Area
KAMENG WEST,7,15,0,27,0,3,0,Peaceful Area
KANCHIPURAM,251,144,90,385,171,181,9,Peaceful Area
KANDHAMAL,368,235,46,1022,65,483,0,Peaceful Area
KANGRA,232,285,9,505,74,614,0,Peaceful Area
KANKER,314,71,19,325,25,153,0,Peaceful Area
KANNAUJ,92,464,256,310,106,822,0,Peaceful Area
KANSHIRAM NAGAR,84,197,133,145,10,132,0,Peaceful Area
KANYAKUMARI,110,302,49,239,725,719,0,Peaceful Area
KAPURTHALA,190,174,45,153,0,410,0,Peaceful Area
KARAIKAL,12,15,1,108,25,6,0,Peaceful Area
KARBI ANGLONG,171,234,14,105,1,183,0,Peaceful Area
KARGIL,8,21,0,18,0,3,0,Peaceful Area
KARIMGANJ,397,478,88,89,0,1279,1,Peaceful Area
KARUR,68,253,25,174,52,209,0,Peaceful Area
KASARGOD,480,51,6,944,87,1775,0,Peaceful Area
KATHUA,164,232,26,204,105,90,0,Peaceful Area
KATIHAR RLY.,17,33,6,31,0,11,0,Peaceful Area
KAUSHAMBI,226,297,258,343,95,610,0,Peaceful Area
KAWARDHA,35,0,1,45,4,15,0,Peaceful Area
KHAGARIA,172,208,157,112,0,211,1,Peaceful Area
KHANNA,111,92,42,57,0,254,0,Peaceful Area
